series_name,format,monster_real,monster_amount,suspects_amount,motive,monster_gender_group
"Scooby Doo, Where Are You!",TV Series,False,1,2,Theft,Man/Men
"Scooby Doo, Where Are You!",TV Series,False,1,2,Theft,Man/Men
"Scooby Doo, Where Are You!",TV Series,False,1,0,Treasure,Man/Men
"Scooby Doo, Where Are You!",TV Series,False,1,2,Natural Resource,Man/Men
"Scooby Doo, Where Are You!",TV Series,False,1,1,Competition,Woman/Women
"Scooby Doo, Where Are You!",TV Series,False,1,2,Extortion,Man/Men
"Scooby Doo, Where Are You!",TV Series,False,1,1,Competition,Man/Men
"Scooby Doo, Where Are You!",TV Series,False,1,2,Safety,Man/Men
"Scooby Doo, Where Are You!",TV Series,False,1,1,Counterfeit,Man/Men
"Scooby Doo, Where Are You!",TV Series,False,1,1,Competition,Man/Men
"Scooby Doo, Where Are You!",TV Series,False,3,1,Treasure,Man/Men
"Scooby Doo, Where Are You!",TV Series,False,1,1,Theft,Man/Men
"Scooby Doo, Where Are You!",TV Series,False,2,2,Theft,Both
"Scooby Doo, Where Are You!",TV Series,False,1,2,Theft,Man/Men
"Scooby Doo, Where Are You!",TV Series,False,1,1,Competition,Man/Men
"Scooby Doo, Where Are You!",TV Series,False,2,3,Inheritance,Man/Men
"Scooby Doo, Where Are You!",TV Series,False,1,3,Theft,Man/Men
"Scooby Doo, Where Are You!",TV Series,False,1,2,Theft,Man/Men
"Scooby Doo, Where Are You!",TV Series,False,3,1,Smuggling,Man/Men
"Scooby Doo, Where Are You!",TV Series,False,1,2,Theft,Man/Men
"Scooby Doo, Where Are You!",TV Series,False,1,2,Theft,Man/Men
"Scooby Doo, Where Are You!",TV Series,False,1,1,Treasure,Man/Men
"Scooby Doo, Where Are You!",TV Series,False,2,1,Theft,Both
"Scooby Doo, Where Are You!",TV Series,False,1,0,Smuggling,Man/Men
"Scooby Doo, Where Are You!",TV Series,False,1,3,Theft,Man/Men
The New Scooby-Doo Movies,TV Series,False,2,2,Natural Resource,Ambiguous
The New Scooby-Doo Movies,TV Series,False,2,1,Counterfeit,Man/Men
The New Scooby-Doo Movies,TV Series,False,1,2,Safety,Woman/Women
The New Scooby-Doo Movies,TV Series,False,1,4,Treasure,Man/Men
The New Scooby-Doo Movies,TV Series,False,2,1,Inheritance,Man/Men
The New Scooby-Doo Movies,TV Series,False,3,4,Theft,Man/Men
The New Scooby-Doo Movies,TV Series,False,9,4,Preservation,Man/Men
The New Scooby-Doo Movies,TV Series,False,2,2,Treasure,Man/Men
The New Scooby-Doo Movies,TV Series,False,7,2,Theft,Both
The New Scooby-Doo Movies,TV Series,False,1,4,Theft,Man/Men
